Tenure,NumOfProducts,HasCrCard,IsActiveMember,SatisfactionScore,GenderBinary,SurnameOrd,CardTypeOrd,CountryOrd,CreditScore,Age,Balance,EstimatedSalary,PointsEarned,TenurePoints,CardProducts,SatisfactionProducts,AgeProducts,BalanceCredit,ClusterKMeans,ClusterBGM
4,2,1,1,1,0,0.0,1.0,2,850,32,156001.68,151677.31,882,0.0045351473922902496,0.5,0.5,16.0,183.53138823529412,0,1
5,1,1,1,3,1,0.0,1.0,3,395,34,106011.59,17376.57,549,0.009107468123861567,1.0,3.0,34.0,268.3837721518987,0,2
7,1,1,0,1,0,0.0,1.0,1,706,57,0.0,17941.16,701,0.009985734664764621,1.0,1.0,57.0,0.0,1,3
5,1,0,0,4,1,0.0,0.0,3,648,45,118886.55,51636.7,609,0.008210180623973728,0.0,4.0,45.0,183.46689814814815,0,2
7,2,0,1,1,1,0.0,1.0,2,528,27,176227.07,139481.53,875,0.008,0.5,0.5,13.5,333.7633901515152,0,1
8,1,1,0,3,0,0.0,1.0,1,828,28,134766.85,79355.87,738,0.01084010840108401,1.0,3.0,28.0,162.76189613526572,0,2
4,2,1,1,4,1,0.0,3.0,2,850,34,71379.53,154000.99,827,0.0048367593712212815,1.5,2.0,17.0,83.97591764705882,1,1
9,1,1,0,5,0,0.0,1.0,3,652,41,159434.03,178373.93,856,0.010514018691588784,1.0,5.0,41.0,244.5307208588957,0,2
6,1,1,1,1,1,0.0,0.0,2,667,38,144432.04,73963.17,403,0.01488833746898263,0.0,1.0,38.0,216.53979010494754,0,2
0,1,0,1,2,1,0.0,2.0,2,682,26,110654.02,111879.21,899,0.0,2.0,2.0,26.0,162.24929618768329,0,2
3,2,1,1,2,0,0.0,1.0,1,781,33,0.0,42556.33,989,0.003033367037411527,0.5,1.0,16.5,0.0,1,3
3,1,1,1,3,0,0.0,1.0,2,667,31,99513.91,189657.26,962,0.0031185031185031187,1.0,3.0,31.0,149.19626686656673,0,2
2,4,1,0,2,1,0.0,1.0,3,602,43,113641.49,115116.35,679,0.0029455081001472753,0.25,0.5,10.75,188.7732392026578,1,0
6,1,0,1,5,0,0.0,2.0,1,434,55,0.0,73562.05,821,0.007308160779537149,2.0,5.0,55.0,0.0,1,3
9,1,0,0,4,0,0.0,3.0,1,702,44,0.0,59207.41,977,0.009211873080859774,3.0,4.0,44.0,0.0,1,3
9,1,0,1,1,1,2.0,3.0,3,772,51,143930.92,46675.51,937,0.0096051227321238,3.0,1.0,51.0,186.43901554404147,0,2
8,1,1,0,4,1,4.0,1.0,1,527,35,0.0,98031.53,277,0.02888086642599278,1.0,4.0,35.0,0.0,1,3
8,1,1,0,2,0,0.0,0.0,3,661,35,124098.54,86678.48,393,0.020356234096692113,0.0,2.0,35.0,187.74363086232978,0,2
4,2,0,0,4,1,0.0,2.0,2,641,35,0.0,125986.18,757,0.005284015852047556,1.0,2.0,17.5,0.0,1,3
6,2,1,1,5,1,0.0,0.0,2,629,33,0.0,59129.72,632,0.00949367088607595,0.0,2.5,16.5,0.0,1,3
1,3,1,0,3,0,0.0,2.0,2,490,39,0.0,171060.01,506,0.001976284584980237,0.6666666666666666,1.0,13.0,0.0,1,3
7,1,0,1,1,0,0.0,1.0,2,847,66,123760.68,53157.16,757,0.009247027741083224,1.0,1.0,66.0,146.11650531286895,0,2
6,1,1,1,2,0,0.0,1.0,2,550,22,154377.3,51721.52,491,0.012219959266802444,1.0,2.0,22.0,280.686,0,2
1,2,1,1,1,0,0.0,1.0,3,666,71,53013.29,112222.64,419,0.002386634844868735,0.5,0.5,35.5,79.59953453453454,1,1
1,1,0,1,2,0,0.0,3.0,1,540,39,0.0,108419.41,727,0.001375515818431912,3.0,2.0,39.0,0.0,1,3
9,2,1,0,4,1,0.0,2.0,2,749,27,0.0,132734.87,739,0.012178619756427604,1.0,2.0,13.5,0.0,1,3
3,1,1,1,4,1,0.0,1.0,1,628,33,0.0,188193.25,240,0.0125,1.0,4.0,33.0,0.0,1,3
2,1,1,1,1,1,0.0,3.0,3,650,25,114330.95,25325.07,876,0.00228310502283105,3.0,1.0,25.0,175.89376923076924,0,2
2,2,1,0,2,1,0.0,3.0,2,626,37,133968.96,148689.65,321,0.006230529595015576,1.5,1.0,18.5,214.0079233226837,0,1
7,2,1,1,1,1,0.0,1.0,2,814,48,0.0,132870.15,260,0.026923076923076925,0.5,0.5,24.0,0.0,1,3
3,1,0,0,5,1,0.0,2.0,1,534,33,151233.62,199336.63,472,0.006355932203389831,2.0,5.0,33.0,283.2090262172285,0,2
3,1,1,1,4,1,0.0,3.0,2,774,35,121418.62,24400.37,981,0.0030581039755351682,3.0,4.0,35.0,156.87160206718346,0,2
5,1,1,1,1,0,0.0,0.0,1,613,19,0.0,176903.35,327,0.01529051987767584,0.0,1.0,19.0,0.0,1,3
4,2,1,0,3,1,0.0,3.0,1,472,28,0.0,1801.77,633,0.00631911532385466,1.5,1.5,14.0,0.0,1,3
3,1,0,0,3,0,0.0,2.0,3,632,41,126550.7,177644.52,324,0.009259259259259259,2.0,3.0,41.0,200.2384493670886,0,2
8,2,1,0,1,1,0.0,0.0,3,590,27,123599.49,1676.92,971,0.008238928939237899,0.0,0.5,13.5,209.49066101694916,0,1
2,2,1,0,4,0,0.0,2.0,2,440,42,0.0,49826.68,260,0.007692307692307693,1.0,2.0,21.0,0.0,1,3
1,2,1,1,2,1,0.0,0.0,3,775,33,118897.1,26362.4,253,0.003952569169960474,0.0,1.0,16.5,153.41561290322582,0,1
5,1,1,1,5,1,0.0,2.0,2,755,78,121206.96,76016.49,554,0.009025270758122744,2.0,5.0,78.0,160.53901986754968,0,2
5,2,1,0,5,0,0.0,0.0,3,620,40,108197.11,49722.34,951,0.005257623554153523,0.0,2.5,20.0,174.5114677419355,0,1
2,1,0,1,3,0,0.0,0.0,2,776,37,0.0,8065.0,846,0.002364066193853428,0.0,3.0,37.0,0.0,1,3
4,2,1,1,3,0,0.0,2.0,2,628,34,158741.43,126192.54,983,0.004069175991861648,1.0,1.5,17.0,252.77297770700636,0,1
9,2,1,1,3,0,0.0,3.0,2,711,58,91285.13,26767.85,949,0.009483667017913594,1.5,1.5,29.0,128.38977496483827,1,1
4,1,0,1,2,0,0.0,3.0,1,667,71,137260.78,94433.08,915,0.004371584699453552,3.0,2.0,71.0,205.78827586206896,0,2
6,2,0,1,2,1,0.0,3.0,2,506,57,0.0,194421.12,844,0.0071090047393364926,1.5,1.0,28.5,0.0,1,3
1,1,0,1,5,0,0.0,1.0,2,797,29,0.0,149991.32,752,0.0013297872340425532,1.0,5.0,29.0,0.0,1,3
1,1,1,0,1,1,0.0,0.0,2,580,56,131368.3,106918.67,796,0.001256281407035176,0.0,1.0,56.0,226.49706896551723,0,2
3,1,1,1,4,0,0.0,3.0,2,669,39,119452.03,171575.54,784,0.003826530612244898,3.0,4.0,39.0,178.5531091180867,0,2
9,2,0,0,5,0,0.0,2.0,1,663,33,0.0,91514.62,868,0.010368663594470046,1.0,2.5,16.5,0.0,1,3
8,3,0,0,5,1,0.0,2.0,2,604,47,62094.71,9308.1,430,0.018604651162790697,0.6666666666666666,1.6666666666666667,15.666666666666666,102.80581125827814,1,0
9,2,1,1,5,0,0.0,1.0,1,638,30,136808.53,106642.97,946,0.009513742071881607,0.5,2.5,15.0,214.43343260188087,0,1
8,2,1,1,5,0,0.0,1.0,1,778,40,104291.41,117507.11,998,0.008016032064128256,0.5,2.5,20.0,134.0506555269923,0,1
4,1,1,0,5,0,0.0,0.0,2,747,42,80214.36,115241.96,387,0.0103359173126615,0.0,5.0,42.0,107.38200803212851,0,2
5,1,1,1,5,0,0.0,1.0,3,612,42,141927.1,43018.98,299,0.016722408026755852,1.0,5.0,42.0,231.90702614379086,0,2
8,2,1,1,1,1,0.0,1.0,3,850,27,111837.78,110805.79,521,0.015355086372360844,0.5,0.5,13.5,131.5738588235294,0,1
3,1,1,0,2,1,6.0,0.0,3,636,48,120568.41,190160.04,981,0.0030581039755351682,0.0,2.0,48.0,189.5729716981132,0,2
9,2,1,1,2,1,0.0,0.0,2,725,25,0.0,168607.74,922,0.009761388286334056,0.0,1.0,12.5,0.0,1,3
6,2,0,0,2,1,0.0,1.0,1,671,29,0.0,12048.67,328,0.018292682926829267,0.5,1.0,14.5,0.0,1,3
10,1,1,1,3,0,0.0,2.0,1,782,23,98052.66,142587.32,565,0.017699115044247787,2.0,3.0,23.0,125.38703324808185,0,2
0,1,1,1,2,1,0.0,3.0,1,594,24,97378.54,71405.17,431,0.0,3.0,2.0,24.0,163.93693602693602,0,2
2,2,1,0,3,0,0.0,3.0,2,633,37,0.0,182258.17,918,0.002178649237472767,1.5,1.5,18.5,0.0,1,3
6,1,1,0,4,1,8.0,0.0,2,600,26,108909.12,82547.01,804,0.007462686567164179,0.0,4.0,26.0,181.5152,0,2
8,1,1,1,4,1,0.0,2.0,1,819,28,168253.21,102799.14,230,0.034782608695652174,2.0,4.0,28.0,205.43737484737483,0,2
9,2,1,0,1,1,0.0,3.0,2,767,35,0.0,39511.61,981,0.009174311926605505,1.5,0.5,17.5,0.0,1,3
5,1,1,0,1,1,0.0,3.0,2,559,46,0.0,21006.1,486,0.0102880658436214,3.0,1.0,46.0,0.0,1,3
10,1,1,1,3,0,0.0,0.0,1,609,53,0.0,154642.91,498,0.020080321285140562,0.0,3.0,53.0,0.0,1,3
6,1,1,1,1,1,6.0,0.0,2,570,61,142105.35,45214.04,309,0.019417475728155338,0.0,1.0,61.0,249.30763157894737,0,2
7,2,1,1,4,0,0.0,1.0,1,555,50,128061.0,62375.1,977,0.007164790174002047,0.5,2.0,25.0,230.74054054054054,0,1
1,1,0,0,2,0,0.0,0.0,3,465,53,117438.17,74898.8,954,0.0010482180293501049,0.0,2.0,53.0,252.55520430107526,0,2
1,1,1,1,5,1,0.0,1.0,3,743,34,131736.88,108543.21,514,0.0019455252918287938,1.0,5.0,34.0,177.30401076716018,0,2
7,1,1,1,5,1,0.0,0.0,3,589,41,92618.62,101178.85,235,0.029787234042553193,0.0,5.0,41.0,157.24723259762308,0,2
10,2,1,1,2,0,0.0,3.0,1,735,29,0.0,95025.27,439,0.022779043280182234,1.5,1.0,14.5,0.0,1,3
2,2,0,1,3,1,0.0,3.0,1,665,42,156371.61,156774.94,553,0.003616636528028933,1.5,1.5,21.0,235.14527819548871,0,1
8,2,0,1,4,1,0.0,0.0,2,577,30,92472.1,126434.61,569,0.014059753954305799,0.0,2.0,15.0,160.2636048526863,1,1
1,1,1,1,5,1,0.0,3.0,3,793,32,96408.98,138191.81,338,0.0029585798816568047,3.0,5.0,32.0,121.57500630517023,0,2
9,2,0,0,5,0,0.0,2.0,1,680,35,0.0,143774.06,590,0.015254237288135594,1.0,2.5,17.5,0.0,1,3
1,1,1,1,5,1,0.0,1.0,1,598,64,62979.93,152273.57,291,0.003436426116838488,1.0,5.0,64.0,105.31760869565217,0,2
10,1,1,1,3,0,0.0,2.0,1,704,24,122109.78,127654.37,306,0.032679738562091505,2.0,3.0,24.0,173.45139204545455,0,2
5,2,0,1,4,0,0.0,0.0,2,485,37,0.0,170226.47,735,0.006802721088435374,0.0,2.0,18.5,0.0,1,3
5,1,1,0,2,1,0.0,0.0,1,637,22,98800.0,122865.55,430,0.011627906976744186,0.0,2.0,22.0,155.10204081632654,0,2
3,3,1,0,3,1,0.0,3.0,2,779,29,46388.16,127939.26,922,0.0032537960954446853,1.0,1.0,9.666666666666666,59.548344030808735,1,0
2,2,0,1,5,1,0.0,2.0,2,803,65,151659.52,6930.17,321,0.006230529595015576,1.0,2.5,32.5,188.8661519302615,0,1
8,2,1,1,3,0,0.0,2.0,2,782,39,0.0,33949.67,424,0.018867924528301886,1.0,1.5,19.5,0.0,1,3
10,1,1,0,1,1,0.0,0.0,2,832,27,98590.25,30912.89,726,0.013774104683195593,0.0,1.0,27.0,118.49789663461539,0,2
4,2,1,1,3,1,0.0,1.0,1,622,46,107073.27,30984.59,299,0.013377926421404682,0.5,1.5,23.0,172.14352090032156,0,1
6,1,1,0,4,0,0.0,3.0,2,672,31,91125.75,177295.92,597,0.010050251256281407,3.0,4.0,31.0,135.60379464285714,0,2
3,2,1,0,4,0,0.0,0.0,3,714,39,149887.49,63846.36,235,0.01276595744680851,0.0,2.0,19.5,209.92645658263305,0,1
1,2,1,1,2,0,0.0,2.0,3,679,35,130463.55,37341.17,606,0.0016501650165016502,1.0,1.0,17.5,192.14072164948453,0,1
9,2,1,0,2,1,0.0,2.0,2,607,49,119960.29,103068.22,768,0.01171875,1.0,1.0,24.5,197.62815485996705,0,1
0,1,1,1,2,0,0.0,3.0,2,702,45,80793.58,27474.81,994,0.0,3.0,2.0,45.0,115.09056980056981,0,2
8,1,0,0,1,0,0.0,2.0,3,645,33,149564.61,149913.84,256,0.03125,2.0,1.0,33.0,231.88311627906975,0,2
9,2,1,0,2,1,0.0,3.0,1,427,39,0.0,28368.37,489,0.018404907975460124,1.5,1.0,19.5,0.0,1,3
7,1,0,1,3,1,0.0,1.0,2,755,28,124540.28,188850.89,691,0.010130246020260492,1.0,3.0,28.0,164.9540132450331,0,2
3,2,1,1,3,1,0.0,0.0,2,602,29,88814.4,62487.97,241,0.012448132780082987,0.0,1.5,14.5,147.53222591362126,1,1
1,2,1,1,3,0,0.0,1.0,2,716,39,70657.61,76476.05,421,0.0023752969121140144,0.5,1.5,19.5,98.68381284916201,1,1
10,2,1,0,2,0,0.0,0.0,3,467,51,114514.71,177784.68,681,0.014684287812041116,0.0,1.0,25.5,245.21351177730193,0,1
1,1,0,1,2,1,0.0,0.0,1,584,50,0.0,152567.75,290,0.0034482758620689655,0.0,2.0,50.0,0.0,1,3
10,3,0,1,1,1,0.0,2.0,2,629,37,99546.25,25136.95,878,0.011389521640091117,0.6666666666666666,0.3333333333333333,12.333333333333334,158.26112877583466,1,0
8,1,1,0,2,0,0.0,2.0,1,567,35,153137.74,88659.07,549,0.014571948998178506,2.0,2.0,35.0,270.0841975308642,0,2
7,1,0,1,2,1,0.0,3.0,2,618,24,128736.39,37147.61,517,0.013539651837524178,3.0,2.0,24.0,208.31131067961164,0,2
3,2,1,1,5,1,0.0,3.0,1,688,24,0.0,102195.16,739,0.0040595399188092015,1.5,2.5,12.0,0.0,1,3
0,1,1,0,5,0,0.0,0.0,2,748,60,152335.7,126743.33,468,0.0,0.0,5.0,60.0,203.6573529411765,0,2
8,1,1,0,2,0,0.0,2.0,2,505,26,112972.57,145011.62,591,0.01353637901861252,2.0,2.0,26.0,223.70805940594062,0,2
8,1,1,0,2,1,0.0,0.0,2,586,43,132558.26,67046.83,230,0.034782608695652174,0.0,2.0,43.0,226.2086348122867,0,2
6,2,1,1,2,1,0.0,2.0,3,597,72,124978.19,7144.46,374,0.016042780748663103,1.0,1.0,36.0,209.34370184254607,0,1
3,2,0,1,3,1,0.0,2.0,2,586,60,47020.65,63241.21,850,0.0035294117647058825,1.0,1.5,30.0,80.24001706484641,1,1
5,1,1,0,3,1,0.0,3.0,2,618,37,96652.86,98686.4,383,0.013054830287206266,3.0,3.0,37.0,156.396213592233,0,2
7,4,0,1,2,1,0.0,1.0,2,610,57,72092.95,113228.82,900,0.0077777777777777776,0.25,0.5,14.25,118.18516393442623,1,0
3,1,1,1,4,0,0.0,1.0,1,637,43,172196.23,104769.96,550,0.005454545454545455,1.0,4.0,43.0,270.3237519623234,0,2
8,2,1,1,1,0,0.0,3.0,2,706,34,0.0,37479.97,798,0.010025062656641603,1.5,0.5,17.0,0.0,1,3
9,2,1,1,4,1,0.0,3.0,2,737,70,87542.89,42576.86,631,0.014263074484944533,1.5,2.0,35.0,118.78275440976934,1,1
6,2,0,1,4,1,0.0,2.0,2,640,47,89799.46,13783.77,857,0.007001166861143524,1.0,2.0,23.5,140.31165625,1,1
3,1,1,1,2,0,0.0,0.0,1,772,36,112029.83,186948.35,776,0.003865979381443299,0.0,2.0,36.0,145.11636010362693,0,2
3,2,0,1,1,1,0.0,3.0,3,785,32,124493.03,52583.79,839,0.003575685339690107,1.5,0.5,16.0,158.58984713375796,0,1
5,1,1,0,3,0,0.0,2.0,3,459,50,109387.9,155721.15,894,0.005592841163310962,2.0,3.0,50.0,238.31786492374727,0,2
8,2,0,0,4,1,0.0,3.0,3,512,40,153537.57,23101.13,447,0.017897091722595078,1.5,2.0,20.0,299.87806640625,0,1
2,1,1,0,2,0,0.0,3.0,2,654,29,91955.61,37065.66,375,0.005333333333333333,3.0,2.0,29.0,140.60490825688075,0,2
6,2,0,0,3,0,0.0,1.0,2,528,31,102016.72,80181.12,264,0.022727272727272728,0.5,1.5,15.5,193.21348484848485,0,1
6,2,0,1,1,0,0.0,0.0,2,682,50,121818.84,124151.37,813,0.007380073800738007,0.0,0.5,25.0,178.62,0,1
6,1,1,1,4,0,0.0,1.0,1,833,32,0.0,44323.22,775,0.007741935483870968,1.0,4.0,32.0,0.0,1,3
7,2,1,1,1,1,0.0,3.0,1,615,29,143330.56,126396.01,229,0.03056768558951965,1.5,0.5,14.5,233.05782113821138,0,1
9,2,0,1,5,0,0.0,3.0,3,752,32,115587.49,101677.46,722,0.012465373961218837,1.5,2.5,16.0,153.70676861702128,0,1
4,1,1,1,3,0,0.0,1.0,2,729,39,121404.64,159618.17,797,0.005018820577164366,1.0,3.0,39.0,166.5358573388203,0,2
3,2,1,0,5,1,0.0,0.0,2,485,27,0.0,141449.86,901,0.003329633740288568,0.0,2.5,13.5,0.0,1,3
1,1,1,0,5,0,0.0,2.0,1,609,61,0.0,22447.85,400,0.0025,2.0,5.0,61.0,0.0,1,3
10,2,1,1,2,1,0.0,2.0,1,850,50,0.0,33741.84,802,0.012468827930174564,1.0,1.0,25.0,0.0,1,3
2,1,1,0,5,1,0.0,2.0,3,431,44,138843.7,37688.31,777,0.002574002574002574,2.0,5.0,44.0,322.14315545243625,0,2
2,2,0,1,2,1,0.0,1.0,2,700,82,0.0,182055.36,603,0.003316749585406302,0.5,1.0,41.0,0.0,1,3
9,2,1,0,3,0,0.0,3.0,1,703,29,0.0,50679.48,242,0.0371900826446281,1.5,1.5,14.5,0.0,1,3
0,1,1,1,5,1,0.0,2.0,3,775,74,161371.5,134869.93,322,0.0,2.0,5.0,74.0,208.22129032258064,0,2
4,2,1,0,2,0,0.0,1.0,2,639,22,0.0,28188.96,416,0.009615384615384616,0.5,1.0,11.0,0.0,1,3
5,2,1,0,5,0,0.0,0.0,3,587,40,138241.9,159418.1,403,0.01240694789081886,0.0,2.5,20.0,235.50579216354342,0,1
6,1,1,0,4,0,0.0,3.0,2,741,42,106036.52,194686.78,927,0.006472491909385114,3.0,4.0,42.0,143.0992172739541,0,2
8,2,1,1,3,0,0.0,1.0,3,522,32,124450.36,165786.1,721,0.011095700416088766,0.5,1.5,16.0,238.41065134099617,0,1
7,2,0,0,3,0,0.0,0.0,2,764,41,0.0,134878.34,784,0.008928571428571428,0.0,1.5,20.5,0.0,1,3
6,2,1,1,3,0,0.0,1.0,2,691,24,0.0,92811.2,591,0.01015228426395939,0.5,1.5,12.0,0.0,1,3
4,2,1,1,1,1,0.0,1.0,2,755,29,148654.84,28805.09,519,0.007707129094412331,0.5,0.5,14.5,196.89382781456953,0,1
6,2,1,0,3,0,0.0,3.0,1,588,34,121132.26,86460.28,468,0.01282051282051282,1.5,1.5,17.0,206.00724489795917,0,1
9,1,1,0,5,0,0.0,1.0,3,586,34,74309.81,15034.93,248,0.036290322580645164,1.0,5.0,34.0,126.80854948805461,0,2
8,1,1,0,4,1,0.0,0.0,1,663,33,122528.18,196260.3,261,0.03065134099616858,0.0,4.0,33.0,184.80871794871794,0,2
4,2,1,1,2,0,0.0,0.0,3,638,25,148045.45,114722.42,537,0.0074487895716946,0.0,1.0,12.5,232.04615987460818,0,1
3,2,0,1,2,0,0.0,1.0,1,662,33,0.0,68064.83,603,0.004975124378109453,0.5,1.0,16.5,0.0,1,3
2,2,0,1,4,0,0.0,2.0,3,756,41,124439.49,47093.11,938,0.0021321961620469083,1.0,2.0,20.5,164.60250000000002,0,1
5,2,1,0,1,0,0.0,2.0,1,834,33,0.0,66285.18,746,0.006702412868632708,1.0,0.5,16.5,0.0,1,3
1,3,1,0,5,1,0.0,1.0,3,850,70,96947.58,62282.99,365,0.0027397260273972603,0.3333333333333333,1.6666666666666667,23.333333333333332,114.05597647058823,1,0
10,1,0,1,4,1,0.0,3.0,2,790,47,148636.21,16119.96,538,0.01858736059479554,3.0,4.0,47.0,188.14710126582278,0,2
6,1,1,0,3,0,0.0,2.0,2,667,42,0.0,88890.05,905,0.0066298342541436465,2.0,3.0,42.0,0.0,1,3
7,1,1,1,1,0,0.0,0.0,3,718,63,123204.88,100538.8,831,0.00842358604091456,0.0,1.0,63.0,171.59454038997214,0,2
1,1,1,0,4,1,0.0,0.0,2,589,61,0.0,61108.56,923,0.0010834236186348862,0.0,4.0,61.0,0.0,1,3
2,2,1,0,5,0,0.0,2.0,2,720,29,0.0,39925.52,398,0.005025125628140704,1.0,2.5,14.5,0.0,1,3
8,1,1,1,5,0,0.0,2.0,1,792,25,142862.21,130639.01,298,0.026845637583892617,2.0,5.0,25.0,180.3815782828283,0,2
2,1,1,0,5,1,0.0,0.0,2,831,32,146033.62,191260.74,360,0.005555555555555556,0.0,5.0,32.0,175.73239470517447,0,2
9,1,1,1,2,1,0.0,2.0,1,550,33,72788.03,103608.06,487,0.018480492813141684,2.0,2.0,33.0,132.34187272727272,0,2
5,1,1,1,3,0,0.0,3.0,3,732,38,178787.54,195760.53,305,0.01639344262295082,3.0,3.0,38.0,244.24527322404373,0,2
9,1,1,0,5,1,0.0,3.0,1,719,47,116393.59,63051.32,777,0.011583011583011582,3.0,5.0,47.0,161.88260083449234,0,2
6,3,1,0,3,0,0.0,3.0,2,822,38,128289.7,9149.96,799,0.007509386733416771,1.0,1.0,12.666666666666666,156.07019464720193,1,0
1,2,0,0,1,0,0.0,1.0,1,771,18,0.0,41542.95,371,0.0026954177897574125,0.5,0.5,9.0,0.0,1,3
6,1,0,0,5,1,0.0,2.0,2,675,38,68065.8,138777.0,543,0.011049723756906077,2.0,5.0,38.0,100.83822222222223,0,2
10,2,1,0,5,1,0.0,3.0,2,732,40,0.0,154189.08,938,0.010660980810234541,1.5,2.5,20.0,0.0,1,3
2,2,0,0,1,0,0.0,0.0,3,755,40,137430.82,176768.59,399,0.005012531328320802,0.0,0.5,20.0,182.0275761589404,0,1
9,2,1,1,3,1,0.0,2.0,1,701,21,0.0,26327.42,434,0.020737327188940093,1.0,1.5,10.5,0.0,1,3
7,2,1,0,2,1,0.0,0.0,2,633,44,0.0,29761.29,627,0.011164274322169059,0.0,1.0,22.0,0.0,1,3
9,1,1,0,1,1,0.0,3.0,3,511,40,124401.6,198814.24,946,0.009513742071881607,3.0,1.0,40.0,243.44735812133072,0,2
9,1,1,0,5,1,0.0,3.0,3,629,38,123948.85,76053.07,564,0.015957446808510637,3.0,5.0,38.0,197.05699523052465,0,2
9,2,0,1,3,0,0.0,0.0,2,746,25,0.0,88728.47,746,0.012064343163538873,0.0,1.5,12.5,0.0,1,3
7,1,1,1,2,1,0.0,3.0,2,674,32,85757.93,95481.0,929,0.007534983853606028,3.0,2.0,32.0,127.23728486646883,0,2
9,2,1,1,3,0,0.0,0.0,2,825,34,0.0,31933.06,941,0.009564293304994687,0.0,1.5,17.0,0.0,1,3
5,2,1,1,4,1,0.0,1.0,1,646,50,142644.64,142208.5,951,0.005257623554153523,0.5,2.0,25.0,220.81213622291023,0,1
1,1,1,1,3,0,0.0,0.0,1,350,54,152677.48,191973.49,643,0.0015552099533437014,0.0,3.0,54.0,436.22137142857144,0,2
1,1,1,1,5,0,0.0,1.0,2,762,20,139432.55,85606.83,415,0.0024096385542168677,1.0,5.0,20.0,182.98234908136482,0,2
7,2,1,1,5,0,0.0,0.0,2,626,34,113014.7,56646.28,664,0.010542168674698794,0.0,2.5,17.0,180.53466453674122,0,1
6,2,0,1,5,0,0.0,2.0,1,850,39,206014.94,42774.84,748,0.008021390374331552,1.0,2.5,19.5,242.37051764705882,0,1
0,1,1,1,3,1,0.0,2.0,2,515,37,196853.62,132770.11,644,0.0,2.0,3.0,37.0,382.24003883495146,0,2
